message_enqueued_time,Press_Samskipahöllin,Press_Leikskolinn_Adalthing,Press_Leikskolinn_Baugur,Press_Vatnsendaskoli,Press_Leikskolinn_Solhvarf
2024-02-02 00:00:00,7.5478515625,6.846470424107143,7.5771484375,4.678181966145833,
2024-02-02 01:00:00,7.609700520833333,6.873209635416667,7.609293619791667,4.653564453125,
2024-02-02 02:00:00,7.586100260416667,6.8740234375,7.6162109375,4.641764322916667,
2024-02-02 03:00:00,7.6259765625,6.909423828125,7.637776692708333,4.645426432291667,
2024-02-02 04:00:00,7.639811197916667,6.916748046875,7.652425130208333,4.638392857142857,6.4095458984375
2024-02-02 05:00:00,7.636555989583333,6.8892822265625,7.636555989583333,4.602701822916667,6.44189453125
2024-02-02 06:00:00,7.585286458333333,6.888671875,7.603190104166667,4.649088541666667,6.439453125
2024-02-02 07:00:00,7.491292317708333,,7.504952566964286,4.68408203125,
2024-02-02 08:00:00,7.516520182291667,,7.556803385416667,4.682047526041667,
2024-02-02 09:00:00,7.532796223958333,6.76904296875,7.527099609375,4.675537109375,6.386555989583333
2024-02-02 10:00:00,7.527506510416667,,7.507975260416667,4.666585286458333,6.40771484375
2024-02-02 11:00:00,7.438395182291667,6.9560546875,7.485188802083333,4.611188616071429,
2024-02-02 12:00:00,7.451009114583333,6.723876953125,7.455426897321429,4.680419921875,
2024-02-02 13:00:00,7.480538504464286,6.747884114583334,7.433512369791667,4.640950520833333,
2024-02-02 14:00:00,7.474202473958333,6.78125,7.52587890625,4.648274739583333,
2024-02-02 15:00:00,7.456298828125,6.782063802083333,7.4599609375,4.680419921875,
2024-02-02 16:00:00,7.416422526041667,6.708356584821429,7.440022786458333,4.57666015625,
2024-02-02 17:00:00,7.35986328125,6.65185546875,7.406656901041667,4.646240234375,
2024-02-02 18:00:00,7.34033203125,6.606689453125,7.381022135416667,4.673502604166667,
2024-02-02 19:00:00,7.353352864583333,6.65185546875,7.395263671875,4.731282552083333,
2024-02-02 20:00:00,7.304117838541667,6.681559244791667,7.401774088541667,4.662109375,
2024-02-02 21:00:00,7.236572265625,6.659993489583333,7.424560546875,4.621012369791667,
2024-02-02 22:00:00,7.24755859375,6.679524739583333,7.443277994791667,4.592936197916667,
2024-02-02 23:00:00,7.246744791666667,6.694173177083333,7.430257161458333,4.579508463541667,
2024-02-03 00:00:00,7.260172526041667,6.692952473958333,7.436767578125,4.621012369791667,
2024-02-03 01:00:00,7.26953125,6.704752604166667,7.455485026041667,4.579915364583333,
2024-02-03 02:00:00,7.287027994791667,6.725911458333333,7.456298828125,4.57330322265625,
2024-02-03 03:00:00,7.3818359375,6.756022135416667,7.507568359375,4.548990885416667,
2024-02-03 04:00:00,7.459147135416667,6.751139322916667,7.488444010416667,4.522135416666667,6.326450892857143
2024-02-03 05:00:00,7.473388671875,6.77880859375,7.52099609375,4.49365234375,6.382758246527778
2024-02-03 06:00:00,7.52587890625,6.811767578125,7.514485677083333,4.54736328125,6.359700520833333
2024-02-03 07:00:00,7.539306640625,6.7763671875,7.53076171875,4.477783203125,6.38330078125
2024-02-03 08:00:00,7.474202473958333,6.771891276041667,7.512858072916667,4.472493489583333,
2024-02-03 09:00:00,7.446940104166667,6.714518229166667,7.470133463541667,4.62548828125,
2024-02-03 10:00:00,7.435139973958333,6.701032366071429,7.443277994791667,4.651529947916667,
2024-02-03 11:00:00,7.434733072916667,6.684814453125,7.444905598958333,4.717854817708333,
2024-02-03 12:00:00,7.399739583333333,6.673421223958333,7.416422526041667,4.75732421875,
2024-02-03 13:00:00,7.389567057291667,6.71533203125,7.442057291666667,4.653738839285714,
2024-02-03 14:00:00,7.431884765625,6.725504557291667,7.475016276041667,4.611653645833333,
2024-02-03 15:00:00,7.448800223214286,6.692545572916667,7.463216145833333,4.675537109375,
2024-02-03 16:00:00,7.40625,6.681966145833333,7.427815755208333,4.647867838541667,
2024-02-03 17:00:00,7.413167317708333,6.689290364583333,7.453450520833333,4.70361328125,
2024-02-03 18:00:00,7.395263671875,6.667724609375,7.424967447916667,4.677571614583333,
2024-02-03 19:00:00,7.403401692708333,6.662841796875,7.427815755208333,4.611653645833333,
2024-02-03 20:00:00,7.397298177083333,6.693766276041667,7.421712239583333,4.6474609375,
2024-02-03 21:00:00,7.397298177083333,6.697544642857143,7.422526041666667,4.622639973958333,
2024-02-03 22:00:00,7.428629557291667,6.713704427083333,7.463216145833333,4.58642578125,
2024-02-03 23:00:00,7.497395833333333,6.758579799107143,7.470540364583333,4.4765625,
2024-02-04 00:00:00,7.45751953125,6.75439453125,7.4697265625,4.43505859375,
2024-02-04 01:00:00,7.445719401041667,6.759684244791667,7.517333984375,4.4375,
2024-02-04 02:00:00,7.381022135416667,6.746663411458333,7.510823567708333,4.883463541666667,6.371907552083333
2024-02-04 03:00:00,7.402587890625,6.769391741071429,7.504720052083333,4.651936848958333,6.396321614583333
2024-02-04 04:00:00,7.421305338541667,6.78826904296875,7.53076171875,4.658854166666667,6.371337890625
2024-02-04 05:00:00,7.399332682291667,6.754801432291667,7.504720052083333,4.604736328125,6.3485107421875
2024-02-04 06:00:00,7.453043619791667,6.751953125,7.497395833333333,4.614501953125,6.3855202414772725
2024-02-04 07:00:00,7.447347005208333,6.7568359375,7.48193359375,4.658854166666667,6.350864955357143
2024-02-04 08:00:00,7.444498697916667,6.737915039062501,7.476643880208333,4.707275390625,6.31640625
2024-02-04 09:00:00,7.422119140625,6.706263950892857,7.483154296875,4.633219401041667,6.318777901785714
2024-02-04 10:00:00,7.3916015625,,7.433512369791667,4.577473958333333,6.318603515625
