Episode,Total Reward
1,622.6451478596063
2,614.7951399336423
3,631.8998797713058
4,619.0832456366868
5,604.6750692779679
6,608.1975146912898
7,656.7515925781323
8,622.0247968174199
9,623.4448436654013
10,628.7190134911634
11,607.6663049748144
12,649.1472870188031
13,620.0587113839254
14,585.9921986057265
15,632.7988481565548
16,633.2174515184255
17,630.3633312029083
18,618.4243528249319
19,636.7026739398804
20,642.5414465305752
21,638.9753115847332
22,647.0984735989313
23,634.5411300773261
24,622.8527039943866
25,657.3592304236721
26,645.1494079382559
27,623.8520707815657
28,639.6687478422397
29,625.6319797590287
30,641.6987674534262
31,651.4445100633887
32,656.7320273526132
33,651.3890866681237
34,629.7854968710025
35,644.6023644483037
36,629.4438084650072
37,639.6674692747649
38,661.1794014829932
39,646.668094675407
40,656.0993263277203
41,623.6121796874007
42,645.5306518554073
43,634.146540045793
44,626.5302041991101
45,642.9126346136027
46,636.5265775025022
47,644.941572519848
48,648.7739164011143
49,660.5043216108659
50,653.1395593431072
51,660.3858130170793
52,650.8385384085942
53,661.2049009217684
54,653.1842768015434
55,662.9907324106467
56,649.6475466832961
57,665.1631909861528
58,655.5668504906436
59,657.769586640843
60,655.0544887797337
61,659.3197350188461
62,667.6782833615667
63,662.4693369515959
64,663.2633867970492
65,655.9815646252437
66,657.0051319975474
67,663.7390328502953
68,649.2500090959785
69,658.4141024222396
70,660.2175728071052
71,658.1368466845597
72,658.2429064310753
73,665.2139359816119
74,655.6664143979782
75,649.0805932744776
76,667.1853781503183
77,659.3664012849456
78,660.4038741463278
79,653.5684452089672
80,662.20530638407
81,665.7082972775836
82,652.1369507432971
83,666.6451409294068
84,667.9166416892415
85,670.6545667137027
86,658.6312189338073
87,668.3851170915608
88,659.0034857487002
89,658.9326191313779
90,661.1901365543222
91,667.2414068864543
92,665.8626360352587
93,661.9722954529161
94,663.6084931129474
95,666.5951925267447
96,662.1783048159346
97,657.9544760696111
98,667.7444549324887
99,668.7163979097016
100,655.4909958370104
101,656.0287639260495
102,664.620173967812
103,665.7884948202994
104,665.1540517043791
105,665.1283414290007
106,653.9432847746396
107,650.3052054987099
108,655.9648345196548
109,652.8771313038804
110,669.022044871754
111,666.3899582966277
112,647.6442827356225
113,668.8091012179991
114,662.5165556492934
115,664.8549376256718
116,669.1978764703103
117,667.33293350065
118,665.7656686059053
119,669.9021341742402
120,660.2045698961214
121,657.5672790967217
122,668.9067061300543
123,661.837438789522
124,664.7982526363453
125,662.8839803794036
126,643.7761761109272
127,667.4387038831936
128,670.2368181532452
129,665.6034399204192
130,657.2165821921487
131,661.6618489250794
132,665.3234882984655
133,668.7913527098164
134,671.3949841952865
135,648.7579047464354
136,666.836816212316
137,670.8875878283834
138,662.9964501171338
139,664.2378194131072
140,663.0427697955827
141,665.4263410062161
142,666.3896294857136
143,666.5734374644592
144,668.296093039235
145,669.2975075536663
146,655.763945608967
147,663.1059252835224
148,662.1629208953087
149,670.4053893943727
150,668.721462992555
151,668.2187441132653
152,670.6134084904862
153,670.122467098282
154,671.122414632891
155,664.1500277449484
156,667.4077831331823
157,668.9122760361965
158,660.6816415100195
159,664.128976604293
160,663.9575490842684
161,670.860789289479
162,663.3195591248585
163,672.7950991347611
164,669.3479456672793
165,669.1030942043895
166,663.800438456244
167,670.7273190829128
168,665.1187475165791
169,674.687978632594
170,669.5622710375087
171,670.4134416359369
172,673.2060085519614
173,670.6857136485246
174,670.7398145557914
175,669.5740776154607
176,670.5828322521755
177,666.7381527468797
178,668.8941960608545
179,670.3316509813704
180,673.1822015580706
181,667.975725595809
182,672.3434206447816
183,670.6461827192624
184,659.1733078017487
185,671.1768243154809
186,671.4209043538035
187,667.90565658759
188,665.8985553922392
189,660.0829216001574
190,671.6818676951696
191,670.41196764178
192,669.6741081579869
193,672.2399356033359
194,667.6498305868797
195,665.7657989740602
196,665.8839184255954
197,666.2919905765914
198,670.1341692983284
199,668.0338461305146
200,670.6306809712744
