Episode,Total Reward
1,342.1671997721274
2,340.12716452745315
3,342.47000948095376
4,319.70775842707593
5,331.173042726253
6,293.66616547369847
7,359.21564343807574
8,191.6161464914987
9,331.6707668926628
10,331.2426218279056
11,331.70205332509227
12,318.4211434445472
13,157.91915335492445
14,266.20176744072097
15,314.6368330921444
16,313.72717401768614
17,294.72729885909996
18,189.4033293006243
19,342.54954147604286
20,209.6845684511069
21,284.6456907636184
22,315.0973813914974
23,326.89369815901733
24,341.7867193835715
25,295.7240199837901
26,322.58518539448477
27,195.07996711792063
28,308.9908947590198
29,311.7238930686467
30,322.23813367127696
31,165.67371222641194
32,268.48498279911576
33,326.57391233022105
34,335.19777401110684
35,290.328946085572
36,317.66657329265433
37,194.51973218944107
38,247.56793206702852
39,294.29252247344294
40,277.40592302147917
41,306.43921889149243
42,250.6162368085598
43,332.8010051856099
44,236.7757042855454
45,334.3406612726296
46,231.31042096398008
47,180.31637779211295
48,195.60788815413989
49,317.44911373626314
50,305.5345934283716
51,208.59804861652557
52,206.8918589729028
53,333.00686368343906
54,310.5726577323808
55,351.76111630742827
56,323.416514522546
57,283.37206994923116
58,320.9262497673998
59,193.3350614449957
60,317.7460268545281
61,338.75507372726526
62,279.15538273773456
63,234.1641172204489
64,294.4794996868966
65,276.1755218839673
66,374.63895896974145
67,363.6804497715094
68,285.32470014045845
69,254.46860198230755
70,332.9194053313738
71,301.830728589821
72,287.9158034749029
73,357.7676201533021
74,343.44287395887125
75,327.57893424759226
76,320.68830727729306
77,308.0581210512325
78,223.82236982336386
79,341.8142555946305
80,188.61206835159751
81,372.80906728528765
82,314.4253787364399
83,377.2063990218237
84,345.89086714660357
85,373.8254719430397
86,337.2817358923258
87,353.5924035660011
88,345.4806181979366
89,301.1454042285152
90,231.3371999189427
91,353.98285324915975
92,376.99951933819784
93,355.4232737786674
94,376.47258055846976
95,204.51506099474318
96,269.6047973587557
97,272.86923537590866
98,345.3421200632224
99,363.7945824132343
100,268.66467262963425
101,231.34129347527787
102,373.4869083033071
103,254.68329755904264
104,316.10816360038837
105,317.3633660888364
106,334.04640985163917
107,343.6779871337644
108,375.5010971831666
109,245.2076716820083
110,378.3180904524607
111,366.43101921057354
112,249.46477672296703
113,355.45001502872884
114,389.2914409504181
115,390.45413933966364
116,265.23642596426106
117,367.6485397686389
118,261.10706580896954
119,379.8156709586573
120,307.01096807274973
121,180.13060364305898
122,389.07761441325783
123,383.5052632660062
124,307.2247199751502
125,220.73288987822292
126,370.06972479659055
127,362.48582356913107
128,328.76374241006425
129,266.0401577676669
130,259.77459355699744
131,365.36345779536435
132,197.98965747550065
133,401.569187706438
134,363.3659301052451
135,394.40642778374615
136,393.1731422657511
137,388.6904168545748
138,378.36552516596686
139,386.62087798981776
140,359.2716497002478
141,333.89563173265975
142,333.08257868921436
143,212.65595100174434
144,369.8013856939886
145,366.2434538210651
146,384.809744598541
147,397.7972962913732
148,355.37284842355876
149,278.304953051058
150,300.5775375482362
151,211.2074330670753
152,358.06909275665583
153,363.80857016551755
154,293.62238955633165
155,351.2049835740101
156,337.29248444040564
157,335.2875218088275
158,359.01202910659447
159,391.14305331480955
160,355.36497698324195
161,365.60910061756374
162,380.50556255036383
163,378.8693134090695
164,386.70393870008553
165,369.6785333871067
166,338.52805284759836
167,399.5323586091466
168,274.5968892099983
169,374.0744971612251
170,408.5675675404977
171,339.8208226095478
172,355.48870269874
173,330.3018600340617
174,352.53858458865767
175,248.77028410598226
176,402.8018007758994
177,410.8326019146831
178,226.3036205401889
179,374.4440236175428
180,334.723322459221
181,396.78841986130936
182,234.63695508282848
183,366.6224844302192
184,322.9646757034495
185,327.45084226039586
186,370.7555406175119
187,396.84656699054733
188,216.4782389676202
189,221.7553182447072
190,347.22029833963154
191,389.9253936127464
192,183.05471396081438
193,331.66806487466164
194,408.85005702406073
195,378.6158725636727
196,377.7796164450498
197,400.70731299567814
198,189.8201928747934
199,388.77829533036663
200,347.1755413708908
201,416.06353359991334
202,394.69345649898673
203,409.63909433426744
204,406.4402854288557
205,195.62404327496301
206,363.1118330753916
207,405.2212054729473
208,327.2203356389857
209,274.4228655288576
210,391.2143763636081
211,313.62553472861686
212,351.2459208911773
213,251.76680099462666
214,418.6068436818789
215,391.06110003279764
216,321.278552212839
217,377.6718716815394
218,405.90942651198435
219,179.5851353085146
220,186.2112986850294
221,413.1060030364464
222,414.6444195754065
223,420.2096395927349
224,407.50681022927193
225,313.25013527053534
226,398.15835227362226
227,399.5099581274051
228,284.76855773556576
229,404.79434633813855
230,375.86162635509436
231,263.50056250154165
232,433.2809315420291
233,416.04713835680235
234,355.35058056507245
235,345.3746643254883
236,404.78615669845885
237,372.89547072286996
238,403.96325746647494
239,413.43056091038403
240,269.83524917203965
241,358.56136565937277
242,268.17129449460754
243,401.4593405506654
244,401.7860654245886
245,328.4216914673791
246,264.94465242352373
247,297.8374288038547
248,278.2286359810615
249,332.19176089662733
